"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations";"id";"FederationAbbr";"team";"CountryAbbr";"source ID"
"The Academy Byron Bay";"https://www.academybyronbay.com.au/";" + 61 2 6685 7001";"12/74 Centennial Cct";"Byron Bay";"NSW";2481;;"Australia";"The Academy is making world-class Jiu Jitsu coaching readily available to the community at large! Kids, teenagers and adult BJJ beginners through to upper belts and competing professionals are all welcome to come and join Thalison and the team on the mats…For fitness, physical and mental health, self defence, self confidence or just a fun way to meet new people…The Academy creates a positive, supportive family environment for you to achieve your goals.";"https://www.academybyronbay.com.au/wp-content/uploads/2020/06/TA-Horizontal-v1.png";;;;;"Yoga";;"https://www.academybyronbay.com.au/timetable/";;"Thalison Soares";;"info@theacademybyronbay.com";"https://www.facebook.com/academybyronbay/";;;"Thalison Soares - 1st Place IBJJF World Championship NoGi (2019); 1st Place IBJJF Pan Pac Championship (2019); 2nd Place UAEJJF Grand Slam, Moscow (2019); 2nd Place IBJJF European Open (2020)";0;;"IBJJF";;"AU";7577
"Team Perosh Mixed Martial Arts";"https://teamperoshmma.com.au/";" + 61 2 9715 3300";"Ground Floor, 97 Queens Rd";"Five Dock";"NSW";2046;;"Australia";"We are an inner western Sydney club in Five Dock with classes and training in Mixed Martial Arts, Brazilian Jiu Jitsu for adults and kids and Muay Thai Kickboxing for adults and kids. Team Perosh Mixed Martial Arts is one of Australia’s premier martial arts clubs. Team Perosh Mixed Martial Arts is headed by owner and chief instructor Anthony Perosh Anthony is a UFC Light Heavyweight Veteran Fighter and 4th degree BJJ Black Belt. Anthony Perosh started teaching BJJ once per week in a Karate school in 2000. He then moved to a church hall teaching 3 days per week in 2001. He opened up a full time academy called Sinosic Perosh Martial Arts (SPMA) in 2002 in Concord. SPMA was an industry leader in martial arts for 15 years. SPMA Concord rebranded and changed their name to Team Perosh Mixed Martial Arts in July 2017. A new era has begun! Team Perosh Mixed Martial Arts moved location to Five Dock in September 2017 after being in Concord for 15 years. We now have a world class facility with great coaches second to none. You can purchase all your MMA gear, BJJ gis. Thai Kickboxing equipment and other martial arts supplies and accessories at our shop. Team Perosh Mixed Martial Arts offers a 2 week free trial of all their classes.";"https://teamperoshmma.com.au/wp-content/uploads/2017/07/logo.jpg";"https://teamperoshmma.com.au/programs/kids-bjj/";"Team Perosh Mixed Martial Arts teaches Kids Brazilian Jiu JItsu. Brazilian Jiu-Jitsu emphasizes taking an opponent to the ground and utilizing ground fighting techniques and submission holds involving joint-locks and chokeholds. The premise is that most of the advantage of a larger, stronger opponent comes from superior reach and more powerful strikes, both of which are somewhat negated when grappling on the ground.";;;"MMA, Muay Thai Kickboxing";;"https://teamperoshmma.com.au/timetable/";;"Anthony Perosh";"2 week free trial";"info@teamperoshmma.com.au";"https://www.facebook.com/teamperoshmma/";"https://www.youtube.com/user/TeamPeroshMMA";"https://youtu.be/nT2afCVkaWY";;0;;"IBJJF";;"AU";2319
"Gracie Barra Hornsby";"https://gbhornsby.com.au/";" + 61 2 9477 6636";"2/138-140 George Street";"Hornsby";"NSW";2077;;"Australia";"The Gracie Barra school in hornsby welcomes everyone and anyone who is looking to get in shape, learn self-defense, and improve the overall quality of their lives. A typical Gracie Barra Hornsby, student starts with an introductory class, where he or she will learn the overall self-defense strategy of Brazilian Jiu-Jitsu and afterwards enroll in the Gracie Barra Fundamentals program. After four (4) months of training and learning all the techniques comprising the Fundamental’s curriculum, the student will be recommended to join the Gracie Barra Advanced Program. During our classes you will find that the techniques of Brazilian Jiu-Jitsu are based on leverage and do not require strength or speed. It doesn’t matter if you’ve ever practiced martial arts before. At Gracie Barra Hornsby, you will find a healthy and friendly environment where you will learn and develop, step by step, all the physical skills necessary to perform the Brazilian Jiu-Jitsu techniques. When asked, “What does Gracie Barra Mean to you?” All of our students would have the same answer: A family. That is nor fortuity. It is rather the result of life works of extraordinary individuals like count Mitsuyo Maeda, Carlos Gracie Sr., Rolls Gracie, Carlos Grace Jr., and people like me who are dedicating their lives to the realization of their dreams and to the continuity of their legacies. Our school has members of all ages and skill levels. Brazilian Jiu-Jitsu is truly for everybody. Here at Grace Barra Hornsby, we pride ourselves on our family. You don’t have to be a fighter to train with us. All that is required is an open mind, a willingness to learn and the desire to be part of the most famous martial arts family in the world. Our programs are open to men, women and children of all ages. Special programs foe military and law enforcement supplement our civilian and professional student body. Brazilian Jiu Jitsu has been tested and proven as an efficient, effective “real-world” system of self defense, both through amazing success in the Ultimate fighting Championship as well as in the introduction of ground grappling into the training regimen of nearly every major martial art world wide. Come be apart of the Gracie Barra Hornsby history as we embark on developing a landmark by the addition of the Gracie Barra Brazilian Jiu Jitsu Academy. If you are not yet a GB member, contact us to schedule your FREE intro class.";"https://gbhornsby.com.au/kinetic/gbhornsby/submissions/89de4913-d0ba-11e7-8d87-3b439b879d3a/files/Image%20File/0/GB%20Hornsby%20-%20Premium%20School%202020.png";"https://gbhornsby.com.au/program/children";"Help your children develop confidence, skills and fitness to serve them a lifetime. We know how to prepare your child to defend themselves against bullies without turning them into one!  Through leverage-based techniques and verbal assertiveness, we can teach your child to neutralise the situation without reacting with a violent response. We do not teach children how to punch or kick, as we believe this often does more harm than good in the situation. All the techniques are purely defensive and utilize no strikes. Furthermore, we teach children how to defuse confrontations with words and never to initiate physical aggression. In the Gracie Barra Kids program, we teach the children how to fight fire with water so that you never have to worry about your child becoming a bully under our guidance. Our Gracie Barra Kids Program is typically subdivided in three different groups to accommodate students of different ages and skill levels: Little Champions I (4-6 years old), Little Champions II (7-9 Years Old), Juniors & Teens (10-14 years old).";"https://gbhornsby.com.au/program/womens";"At Gracie Barra Hornsby, we love to empower women. We have a women’s only class, taught by Professor Aline, a black belt in Brazilian Jiu Jitsu. Our female only classes give you the opportunity to learn and train with your fellow female teammates and with our beginner friendly classes, you’re welcome to join in at any time.  Brazilian Jiu Jitsu is based on a concept that a smaller, weaker person can use leverage and technique to defend themselves against a bigger and stronger opponent. Our classes have a focus on everyday self-defence techniques that can help you in real life situations. Join the Gracie Barra Pink Team to motivate and support your fellow teammates around Sydney and Australia, while making lifelong friends who become part of your family. Come for a free trial of our female only classes. You’re also welcome to trial any of our fundamentals classes (mixed)! ";"BarraFIT";;"https://gbhornsby.com.au/timetables";;"Marcio Lemos";;"info@gbhornsby.com.au";"https://www.facebook.com/graciebarrahornsby.bjj";"https://www.youtube.com/user/andersonllemos";"https://youtu.be/8iELwP5wj70";;0;;"IBJJF";;"AU";7214
"Alpha Jiu Jitsu Academy Blacktown";"https://www.jiujitsublacktown.com.au/";" + 61 2 9622 3530";"3a/378 Vardys Rd";"Kings Park";"NSW";2148;;"Australia";"We would like to welcome all of you to come down and visit us at Alpha Jiu Jitsu Academy in Blacktown. Our team is dedicated to provide a family-friendly environment, teach the art of Brazilian Jiu-Jitsu and give you an experience that you and your whole family will truly enjoy. Our school has been established since the July 2018 serving to people from all walks of life. We have a set curriculum for men, women, and kids from beginners to advanced and not only that but we also cater to people who need special attention. We believe that everyone deserves the benefits of Brazilian Jiu-Jitsu. BJJ is not just an extra activity in people’s lives. It is a core activity that becomes a lifestyle and will positively reflect in every dimension of your life. All of us at Alpha Jiu Jitsu Academy give our 100% commitment in providing every student with the highest quality of Brazilian Jiu Jitsu training to cater for everyone regardless of age, gender, physique and physical fitness in a clean, friendly and family-oriented environment. With the guidance of our fully qualified instructors trained under the Alpha Jiu Jitsu Academy curriculum, we will see to it that every student will get the attention and guidance required to excel in the sport and their personal wellbeing. We at Alpha Jiu Jitsu Academy aim to spread the knowledge of Brazilian Jiu Jitsu and we will pursue to see that our contribution will make a difference not just in the growth of the sport but also in the lives of others.";"https://www.jiujitsublacktown.com.au/wp-content/uploads/2018/10/logo.svg";"https://www.jiujitsublacktown.com.au/kids-classes/";"Alpha Jiu Jitsu Academy Blacktown’s Kids Classes help shy and timid children gain confidence and teach rowdy and energetic girls and boys respect and control. Little Alphas - 4-6 years old, Junior Alphas - 7-9 years old, Teen Alphas - 10-14 years old. Our classes feature an appropriate level of contact for your child’s physical development and maturity.";;;;;"https://www.jiujitsublacktown.com.au/schedule/";"Mon, Wed, Fri: 10:00am-12:00pm, 3:30pm-9:00pm; Tues, Thurs: 5:30pm-9:00pm; Sat: 9:30am-2:00pm";"Chris Sales";;"info@alphajiujitsu.com.au";"https://www.facebook.com/AlphaJiuJitsuBlacktown/";"https://www.youtube.com/channel/UCnc-4_kGW7SPzX2Af9t4lxw";"https://youtu.be/SX3NFdn8e_4";;0;;"IBJJF";;"AU";6564
"Alpha Jiu Jitsu Academy Richmond";"https://www.jiujitsurichmond.com.au/";" + 61 4 2860 5515";"2/221 Windsor Street";"Richmond";"NSW";2753;;"Australia";"We would like to welcome all of you to come and visit us at the Alpha Jiu Jitsu Academy Richmond. Our team is dedicated to provide a family friendly environment, teach the art of Brazilian Jiu Jitsu and give you an experience that you and your whole family will truly enjoy. Our team has been operating for over a decade serving to people from all walks of life. We have a set curriculum for kids, teens and adults from beginners to an advanced level. All of us at Alpha Jiu Jitsu Academy give our 100% commitment in providing every student with the highest quality of Brazilian Jiu Jitsu training to cater for everyone regardless of age, gender, physique and physical fitness in a clean, friendly and family orientated environment. With the guidance of our fully qualified and passionate instructors, we will see to it that every student will get the attention and guidance required to excel in the martial art. We at Alpha Jiu Jitsu Academy aim to spread the knowledge of Brazilian Jiu Jitsu and we will see to it that our contribution will make a difference not just in the growth of the sport but also in the personal wellbeing and lives of others. We are open Full time with classes running in the morning and at night.";"https://www.jiujitsurichmond.com.au/wp-content/uploads/2018/10/logo.svg";"https://www.jiujitsurichmond.com.au/kids-classes/";"Alpha Jiu Jitsu Academy Richmond’s Kids Classes help shy and timid children gain confidence and teach rowdy and energetic girls and boys respect and control. Kids Class - 4-6 years old. Juniors Class - 7-9 years old. Our classes feature an appropriate level of contact for your child’s physical development and maturity.";;;;;"https://www.jiujitsurichmond.com.au/timetable/";"Mon-Thurs: 10:00am-9:30pm";"Chris Sales";;"info@jiujitsurichmond.com.au";"https://www.facebook.com/JiuJitsuRichmond/";;;;0;;"IBJJF";;"AU";
"Alpha Jiu Jitsu Academy Campbelltown";"https://www.jiujitsucampbelltown.com.au/";" + 61 2 4602 0393";"Unit 2, 42-44 Queen Street";"Campbelltown";"NSW";2560;;"Australia";"Our team is dedicated to teaching the art of Brazilian Jiu Jitsu, providing a family friendly environment, and giving you an experience that you and your whole family will truly enjoy. We have a set curriculum for kids, teens and adults from beginners to an advanced level. At Alpha Jiu Jitsu Academy we give our 100% commitment in providing every student with the highest quality training to cater for everyone regardless of age, gender, physique or fitness level in a clean, friendly and family orientated environment. With the guidance of our fully qualified and passionate instructors, we will ensure that every student receives the attention and guidance required to excel in this popular and fast growing martial art. At Alpha Jiu Jitsu we aim to spread our knowledge of Brazilian Jiu Jitsu and see to it that our contribution will make a difference not just in the growth of the sport but also in the lives and wellbeing of others.";"https://www.jiujitsucampbelltown.com.au/wp-content/uploads/2018/10/logo.svg";"https://www.jiujitsucampbelltown.com.au/kids-classes/";"Alpha Jiu Jitsu Academy Campbelltown Kids Classes help shy and timid children gain confidence and teach rowdy and energetic girls and boys respect and control. Little Alphas - 4-6 years old, Junior Alphas - 7-9 years old, Teen Alphas - 10-14 years old. Our classes feature an appropriate level of contact for your child’s physical development and maturity.";;;;;"https://www.jiujitsucampbelltown.com.au/schedule/";"Mon, Tues, Wed: 4:00pm-9:15pm, Thurs: 4:00pm-9:00pm, Sat: 9:00am-12:15pm";"Chris Sales";;"info@jiujitsucampbelltown.com.au";"https://www.facebook.com/jiujitsucampbelltown/";;;;0;;"IBJJF";;"AU";
"Alpha Jiu Jitsu Academy St Marys";"https://www.jiujitsustmarys.com.au/";" + 61 4 3474 4593";"91a Queen Street (Upstairs via Alley)";"Saint Marys";"NSW";2760;;"Australia";"Alpha Jiu Jitsu Academy St Marysis proud to be different. We specialise in making you feel supported and valued, so you can train hard and accomplish your health and fitness goals, whatever they may be. Alpha Jiu Jitsu Academy St Marys specialises in Brazilian Jiu-Jitsu, a martial art and combat sport system that focuses on grappling and ground fighting. Brazilian Jiu-Jitsu allows smaller and weaker grapplers to defeat bigger, stronger, heavier opponents by using proper technique, leverage, joint locks and holds.";"https://www.jiujitsustmarys.com.au/wp-content/uploads/2018/10/logo.svg";"https://www.jiujitsustmarys.com.au/kids-classes/";"Alpha Jiu Jitsu Academy St Marys's Kids Classes help shy and timid children gain confidence and teach rowdy and energetic girls and boys respect and control. Little Alphas - 4-6 years old, Junior Alphas - 7-9 years old, Teen Alphas - 10-14 years old. Our classes feature an appropriate level of contact for your child’s physical development and maturity.";;;;;"https://www.jiujitsustmarys.com.au/schedule/";"Mon-Sat: 10:00am-9:30pm";"Chris Sales";;"alphajjstmarys@gmail.com";"https://www.facebook.com/alphastmarys/";;;;0;;"IBJJF";;"AU";
"Alpha Jiu Jitsu Academy Rouse Hill";"https://www.jiujitsurousehill.com.au/";" + 61 2 8678 2282";"5/1 Resolution Place";"Rouse Hill";"NSW";2155;;"Australia";"We would like to welcome all of you to come down and visit us at Alpha Jiu Jitsu Academy in Rouse Hill. Our team is dedicated to provide a family-friendly environment, teach the art of Brazilian Jiu-Jitsu and give you an experience that you and your whole family will truly enjoy. Our school has been established since the July 2018 serving to people from all walks of life. We have a set curriculum for men, women, and kids from beginners to advanced and not only that but we also cater to people who need special attention. We believe that everyone deserves the benefits of Brazilian Jiu-Jitsu. BJJ is not just an extra activity in people’s lives. It is a core activity that becomes a lifestyle and will positively reflect in every dimension of your life. All of us at Alpha Jiu Jitsu Academy give our 100% commitment in providing every student with the highest quality of Brazilian Jiu Jitsu training to cater for everyone regardless of age, gender, physique and physical fitness in a clean, friendly and family-oriented environment. With the guidance of our fully qualified instructors trained under the Alpha Jiu Jitsu Academy curriculum, we will see to it that every student will get the attention and guidance required to excel in the sport and their personal wellbeing. We at Alpha Jiu Jitsu Academy aim to spread the knowledge of Brazilian Jiu Jitsu and we will pursue to see that our contribution will make a difference not just in the growth of the sport but also in the lives of others.";"https://www.jiujitsurousehill.com.au/wp-content/uploads/2018/10/logo.svg";"https://www.jiujitsurousehill.com.au/kids-classes/";"Alpha Jiu Jitsu Academy Rouse Hill’s Kids Classes help shy and timid children gain confidence and teach rowdy and energetic girls and boys respect and control. Little Alphas - 4-6 years old, Junior Alphas - 7-9 years old, Teen Alphas - 10-14 years old. Our classes feature an appropriate level of contact for your child’s physical development and maturity.";;;;;"https://www.jiujitsurousehill.com.au/schedule/";"Mon, Wed, Fri: 4:00pm-8:30pm; Tues, Thurs: 3:30pm-8:30pm, 10:00am-8:30pm; Sat: 9:30am-1:00pm ";"Chris Sales";;"info@jiujitsurousehill.com.au";"https://www.facebook.com/ajjrousehill/";"https://www.youtube.com/channel/UCg-q6SVlrFRNRoUbFogh6vQ";"https://youtu.be/dtgRLUYgYuU";;0;;"IBJJF";;"AU";
"CMA Martial Arts - MMA BJJ Hapkido";"https://www.hapkidobjj.com/";" + 61 4 1238 5089";"Unit 4/157 Airds Rd";"Leumeah";"NSW";2560;;"Australia";"One of the largest schools of its kind has been committed to Black Belt Excellence since 1992. CMA is proud to be part of an organization that has trademarked the ""Black Belt Success system"". Firstly we want to assure you that your decision to train with us may be one of the best decisions you ever make. We are the very best at what we do - so the time you spend researching us is time very well spent. We provide the very latest and best in martial arts training. CMA boasts unrivalled state of the art facilities in the Campbelltown,Narellan,Camden and Macarthur areas. Achieving international & local recognition.";"https://www.hapkidobjj.com/images/academies/811/website-logo-small.jpg";"https://www.hapkidobjj.com/page/kids-programs";"The Machado System will give your child the essential skills from take down to control then submission using an endless array of effective techniques. Age size or gender is no barrier to learning this proven and practical ground fighting system.";;;"Boxing, Hapkido, MMA";;"https://www.hapkidobjj.com/schedule";;"Michael J Scott";;"enquiries@cmamartialarts.net";"https://www.facebook.com/campbelltownmartialarts/";;;;0;;"IBJJF";;"AU";5277
"Kings Academy of Martial Arts";"https://www.kingsacademy.com.au/";" + 61 2 9602 4183";"2/331 Newbridge Rd";"Moorebank";"NSW";2170;;"Australia";"Kings Academy of Martial Arts is a martial arts club that guides their students to achieve their individual goals through world class instruction in Mixed Martial Arts, Brazillian Jiu Jitsu, Muay Thai Kickboxing, Boxing and Wrestling.";"https://lirp-cdn.multiscreensite.com/d0c3df61/dms3rep/multi/opt/Kings-Academy---Transparent-Background_opt-260w.png";"https://www.kingsacademy.com.au/kids";"Kings Academy for Kids is an exciting new martial arts self-defence and training system for children. The system combines the powerful techniques of Brazilian Jiu-Jitsu with the striking skills of Muay Thai kickboxing and the takedowns of freestyle wrestling. Your children will not only learn to defend themselves but more importantly they will build self-confidence, self-discipline and the positive attitude necessary to become a successful young adult. By enroling your child in the kids' program, you will also increase the child's concentration, coordination and fitness level. These skills are invaluable in helping your child reach other goals in daily life. Your child will learn from highly trained instructors in complete safety. Bring your Kids to train at Sydney's No.1 Martial Arts club located in Moorebank and servicing Liverpool and Western Sydney. To be the best, train with the best. The most comprehensive and enjoyable classes you'll find! Kings Academy has two primary programs, which can be done individually or combined, with kids Brazilian jiu-jitsu and kids Muay Thai. We also have a wrestling class to supplement the kids BJJ training. The class is aimed to complement our kids BJJ program but can also be done individually. Our BJJ and Muay Thai systems have their own syllabus with a well-planned structure designed to help them improve and give them goals to achieve in their training. The program is built to advance them to adults class where we also have a teens program to help them with their progress into the adult classes. Our aim is to help them achieve their goals from a junior student, to a teen and then into adulthood. Martial arts is an activity that your children can take with them for life.";;;"MMA, Muay Thai Kickboxing, Boxing, Wrestling, Yoga";;"https://www.kingsacademy.com.au/timetable";;"Elvis Sinosic";;"contact@kingsacademy.com.au";"https://www.facebook.com/KingsAcademyGym/";"https://www.youtube.com/channel/UCOvI4jTORhRnK2ymDoWMR6Q";"https://youtu.be/LRp4UNG5ENk";;0;;"IBJJF";;"AU";5775
"Gracie Barra Newcastle City";"https://gbnewcastlecity.com.au/";" + 61 2 4906 9305";"Level 1/187 King St";"Newcastle";"NSW";2300;;"Australia";"We are very proud to be part of Gracie Barra and to be able to transmit the teachings of master Carlos and Helio throughout the body mind and spirit. Our school is right in the heart of the city of Newcastle. Newcastle is one of the largest city’s of NSW and has an amazing atmosphere because of the surf lifestyle and the warmth of the people. We offer world-class level Brazilian Jiu-Jitsu instruction for men, women, and children. We teach BJJ, self-defense, and mixed martial arts in a family environment where everyone is friendly and welcoming. Through Jiu-jitsu we are able to contribute to the Australian community teaching people to improve their well-being, to enjoy life fully, and to succeed in their journey.";"https://gbnewcastlecity.com.au/kinetic/gbnewcastlecity/submissions/1e4328a0-d55a-11e7-8d87-7d95f986ec21/files/Image%20File/0/GB%20Newcastle%20City%20-%20Premium%20School%202020.png";"https://gbnewcastlecity.com.au/program/children";"To excel in any endeavor, individuals need to have a strong set of values and a solid character that gives them the perseverance to achieve his or her goals. The Gracie Barra Kids Program was created to provide children ages 3-15 with an environment that allows them to experience and understand core values like focus, discipline, persistence, cooperation and respect. As a contact sport, Gracie Barra Brazilian Jiu-Jitsu provides a very challenging yet safe and caring environment for a child to mature towards a real-life champion.The outcome of continued childhood practice of GB BJJ goes far beyond the accomplishments on the mats. The discipline and excellence demanded by our instructors often carry over to the child’s behavior at home and at school. Our Kids Program is subdivided into three different groups to accommodate students of different ages and skill levels: GB Kids I (4 - 6 years old), GB Kids II (7-10 Years Old), GB Juniors & Teens (11-15 years old)";"https://gbnewcastlecity.com.au/program/womens";"Aside from all classes offered in the Adults Gracie Barra Program Structure, our school offers self-defense classes designed to introduce women to the art of Brazilian Jiu-Jitsu as a means of self-defense. Our Self Defense classes are offered to both men and women,  but ladies do have the option of training with their own gender if preferred.  As a martial art designed to allow the weaker to defeat the stronger, BJJ is a perfect fit for women who are interested in learning how to defend themselves. And who wouldn’t be, right? The Gracie Barra Women’s Program combines a comprehensive self-defense curriculum, with emphasis on drills that simulate realistic attack and escape situations. The techniques are complemented by a strong fitness component that is second to none compared to classes offered in regular gyms. GB Women's classes are specially designed for women like Rape Prevention, BJJ Conditioning and social “get-togethers” are added benefits to the ordinary GB activities and create a strong bond between the members of the “Gracie Barra Pink Team.”";"BarraFIT";;"https://gbnewcastlecity.com.au/timetables";;"Gustavo ""Guga"" Pinto";;"info@gbnewcastlecity.com.au";"https://www.facebook.com/GBNewcastleCity/";"https://www.youtube.com/channel/UCbea-IP6MMZG1-29uc1qgow";"https://youtu.be/BG4DK7KYxro";;0;;"IBJJF";;"AU";6822
