"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations";"id";"FederationAbbr";"team";"CountryAbbr";"source ID"
"Gracie Barra Ponta Grossa";"https://jiujitsupontagrossa.com/";" + 55 42 99134-6838";"Rua Contenda n: 181, Sala 6 - Vila Estrela";"Ponta Grossa";"PR";"84050-330";;"Brasil";;;;;;;;;;;"Rodrigo Fajardo";;"graciebarra.pgpr@gmail.com";"https://www.facebook.com/graciebarrapg/";;;;0;;"CBJJ";;"BR";7534
"Urutum Jiu-Jitsu";;;"Rua Rio Taquari n: 53/02, Jd. São Pedro";"Quatro Barras";"PR";;;"Brasil";;;;;;;;;;;"Silvio Rodrigues de Souza";;;;;;;0;;"CBJJ";;"BR";7030
"Gile Ribeiro Borda do Campo";;" + 55 41 99937-5445";"Rua Caçador n: 590, 1 andar - Bairro: Borda do Campo";"São José dos Pinhais";"PR";"83075-120";;"Brasil";;;;;;;"Muay Thai";;;;"Celso Pereira Junior";;"jrbarjiu@hotmail.com";"https://www.facebook.com/CtgrJuniorbalao/";;;;0;;"CBJJ";;"BR";7172
"WCF Jiu-Jitsu Paraiba";;;"Rua Isaac Catão n: 530, Jardim Paulistano";"Campina Grande";"PB";;;"Brasil";;;;;;;;;;;"Wilson Camara Filho";;;;;;;0;;"CBJJ";;"BR";5924
"ZR Team Esperança PB";;;"Rua Euclides Brandão S/N, Centro";"Esperança";"PB";"58135-000";;"Brasil";;;;;;;;;;;"Tony Herbet Alves da Silva";;;"https://www.facebook.com/Zrteamesperanca_pb-399850554139949/";;;;0;;"CBJJ";;"BR";6560
"Halavanca BJJ Brasil";"https://halavancabjj.com/";;"Rua Cel. Souza Lemos n: 167-1, Bairro: Miramar";"João Pessoa";"PB";"58043-190";;"Brasil";"HALAVANCA Jiu-Jitsu is an innovative martial arts and fitness program, designed to challenge and elevate the individual's mental and physical abilities in a safe and welcoming environment, setting the stage for a bright future. Our curriculum integrates physical education and self-defense techniques with conditioned and skill-oriented exercises, designed to improve coordination, motor skills, agility and flexibility. Mutual respect and cooperation are encouraged, as well as socialized and, of course, fun. Brazilian Jiu-jitsu is an exciting and powerful martial art, known for its dynamic techniques. The HALAVANCA method realizes that each being has different physical abilities. Size and strength vary with each individual. Once an individual has acquired a solid foundation in the basics, HALAVANCA Jiu-Jitsu's program will increase physical capabilities and maximize their self-defense skills. Our program is related to character education. HALAVANCA Jiu-Jitsu is not only interested in teaching self defense, it is interested in the complete personal development of each student and their individual attention is a characteristic of each and every class, allowing all our students to progress quickly and confidently. The program teaches the importance of a strong character, leadership and good values. Our teaching style is basically a positive mental attitude and setting high goals. HALAVANCA Jiu-Jitsu promises to give students the highest professional level, good supervision and excellent quality classes available. Mission - HALAVANCA Jiu-Jitsu will teach in a way that will help everyone to develop in different ways, such as moral, civic, behavior, critical and healthy thinking, in addition to increasing their level of confidence and increasing their level of physical conditioning. Values ​​- The values ​​of Academia HALAVANCA de Jiu-Jitsu are the education of character, respect, integrity, discipline, self-control, confidence and physical fitness.";"https://halavancabjj.com/logo.svg";;;;;;;;;"Helder Medeiros da Silva";;"halavancabjj@halavancabjj.com";"https://www.facebook.com/halavanca";"https://www.youtube.com/channel/UCEYpU-TZljtjcX7njpI_cmw";"https://youtu.be/CRpCQocg4LE";;0;;"CBJJ";;"BR";4389
"Rilion Gracie Paraíba";;" + 55 83 98873-7498";"Rua João Ramalho Leite, 219, Castelo Branco III";"João Pessoa";"PB";"58050-620";;"Brasil";;;;;;;;;;;"Laudy Nixon Nogueira Fernandes";;;;"https://www.youtube.com/user/laudynixon2011";"https://youtu.be/lWWXhGrIpYk";;0;;"CBJJ";;"BR";7574
"Box 79 Fight Escola de Lutas";;;"Rua São João, 340 - Centro";"Mamanguape";"PB";"58280-000";;"Brasil";;;;;;;;;;;"Luciano Valentim da Silva";;;;;;;0;;"CBJJ";;"BR";7743
"Pablo Forlan Brazilian Jiu-Jitsu";;;"Rua Pedro Peixoto n: 334 Térreo, Jardim Queiroz";"Patos";"PB";"58704-150";;"Brasil";;;;;;;;;;;"Pablo Forlan Claudino Amorim";;;;;;;0;;"CBJJ";;"BR";6745
"WCF Santa Rita";;;"Rua Fernando Cavadine n: 32, Sol Nascente - Tibire II";"Santa Rita";"PB";;;"Brasil";;;;;;;;;;;"Wilson Camara Filho";;;;;;;0;;"CBJJ";;"BR";7342
"STRG PE BJJ Team";;;"Rua Lourenço Correia de Melo n: 304, Pedrosa`s Fight";"Gravatá";"PE";"55641-140";;"Brasil";;;;;;;;;;;"Wallas Pedroza Felix";;;;;;;0;;"CBJJ";;"BR";7005
"Gracie Barra Ipojuca-PE";;" + 55 81 99890-7548";"Rua 12 número 101, Loteamento Novas Conoas";"Ipojuca";"PE";;;"Brasil";"Organizado como um Time, Lutando como uma Família.";;;;;;;;;;"Glaubert Gomes de Assis";;;"https://www.facebook.com/gbipojuca/";"https://www.youtube.com/channel/UCxlRD7RB5AFBztlgBIrYwWA";"https://youtu.be/OUwGCGq_iNc";;0;;"CBJJ";;"BR";7608
"Jefferson Urquiza Team";;;"Rua Dulce Vita 60, Porto de Galinhas";"Ipojuca";"PE";"55590-000";;"Brasil";;;;;;;"MMA, Muay Thai, Krav Maga";;;;"Jefferson José Urquiza Tenorio";;;"https://www.facebook.com/Jefferson-Urquiza-Team-844682795630714/";;;;0;;"CBJJ";;"BR";5029
"Cancão Fight Team";;;"Rua India 191 - B Casa, Sucupira";"Jaboatão dos Guararapes";"PE";"54280-480";;"Brasil";;;;;;;;;;;"André Carlos Barbosa da Silva";;;;;;;0;;"CBJJ";;"BR";4867
"GF Team Pernambuco";;;"Rua Um 9A, Cajueiro Seco";"Jaboatão dos Guararapes";"PE";"54330-040";;"Brasil";;;;;;;;;;;"Emerson de Lima Martins";;;;;;;0;;"CBJJ";;"BR";5195
"LWM Jiu-Jitsu/PE";;;"Rua Ilha Bela n: 100, Barra de Jaugada";"Jaboatão dos Guararapes";"PE";"54495-070";;"Brasil";;;;;;;;;;;"Derval Luciano Rêgo";;;;;;;0;;"CBJJ";;"BR";6183
"Zebu Team";;" + 55 81 98341-6517";"Rua das Carolinas n: 117, 2 andar - Bairro: Candeias";"Jaboatão dos Guararapes";"PE";"54430-340";;"Brasil";;;;;;;;;;;"Thompson Clay Coelho Bastos";;;"https://www.facebook.com/zebuteampe/";;;;0;;"CBJJ";;"BR";6102
"Academia AMA de Jiu-Jitsu";;;"Rua Presidente Vargas n: 142, Prox. ao Supermercado Soberano. Bairro: Paratibe";"Paulista";"PE";"53415-260";;"Brasil";;;;;;;;;;;"Luis Alberto da Silva";;;;;;;0;;"CBJJ";;"BR";6554
"The Brothers BJJ Pernambuco";;" + 55 81 98740-4129";"Rua General Castelo Branco 12 , Arthur Lundgren 1";"Paulista";"PE";"53415-210";;"Brasil";;;;;;;;;;;"Robson Mendonça da Luz";;;"https://www.facebook.com/Academia-The-Brothers-Jiu-Jitsu-536923013028590/";;;;0;;"CBJJ";;"BR";5225
"Academia Jam Lobo Jiu-Jitsu";;" + 55 81 99161-3183";"Rua Aurora Caçote 236 Casa, Areias";"Recife";"PE";"50875-150";;"Brasil";;;;;;;;;;;"Derval Luciano Rêgo";;"jamlobo.jiujitsu@gmail.com";"https://www.facebook.com/Academia-Jam-Lobo-720507618319585/";;;;0;;"CBJJ";;"BR";4476
"Academia Rostan Lacerda";;" + 55 81 98670-5464";"Rua Augusto Calheiros n: 62";"Recife";"PE";"50770-250";;"Brasil";"Associação voltada para pratica de jiu-jitsu, submission, defesa pessoal e treinamento para capacitação na área de segura. Ensino e prática do Jiu-Jitsu, submission, defesa pessoal e treinamento para capacitação na área de segurança. Com 36 anos de prática e ensino nas artes marciais. Contribuindo para a socialização dos cidadãos, trabalhando a disciplina, o respeito, o auto-controle e a fraternidade. Composto por alunos de vários segmentos da sociedade, abrangendo o sexo masculino e feminino, com idades variadas. Sempre focando a autoestima do atleta, resgatando valores éticos e profissionais.";;;;;;;;;;"Rostan da Silva Lacerda";;"pentagono.rl@gmail.com";"https://www.facebook.com/AJJRL/";"https://www.youtube.com/channel/UCGXR_LC2MM33lBOV4Qq82-g";"https://youtu.be/aiyA_fYyEZc";;0;;"CBJJ";;"BR";864
"Broa BJJ";;;"Rua Jorge Couceiro da Costa Eiras n: 50 apt 102, Boa Viagem";"Recife";"PE";;;"Brasil";;;;;;;;;;;"Felipe Thiago Pereira da Silva";;;;;;;0;;"CBJJ";;"BR";6842
"Gracie Barra Boa Viagem";"https://www.gbboaviagem.com.br/";" + 55 81 98110-4573";"Rua Coronel Anizio Rodrigues Coelho, 253 - Boa Viagem";"Recife";"PE";"51021-130";;"Brasil";"Iniciada em 07 de Abril de 2017, a GRACIE BARRA BOA VIAGEM teve seu início com o professor Leeds Ponsoni, que viu a oportunidade de compartilhar os benefícios do Jiu-Jitsu na sua cidade natal, seguindo a filosofia do Mestre Carlos Gracie Jr. que é um homem à frente do seu tempo e fundador da maior equipe de Jiu-Jitsu do mundo, a GRACIE BARRA. Em 2018, o professor Leeds Ponsoni, organizando um projeto de aperfeiçoamento no CANADÁ, com migração imediata para CALIFÓRNIA - EUA, entendeu a necessidade de compartilhar a missão de manter o legado vivo em Recife-PE, e percebeu que Vitor Vachala, um de seus alunos, tinha o perfil necessário seguir seu projeto e adicionar o quadro societário da GRACIE BARRA BOA VIAGEM. Após alguns meses sob a administração de Vitor Vachala e comando técnico do professor Rodrigo Mendes, a capacidade física de alunos foi esgotada, havendo a necessidade de mudança para um espaço maior. Nesse momento houve a decisão de reabertura no quadro societário, para que a GRACIE BARRA BOA VIAGEM pudesse ganhar ainda mais força, com isso, recepcionando o professor Rodrigo Mendes e o professor Fabrício Bartholo, completando dessa forma o time atual de sócios/líderes da GRACIE BARRA BOA VIAGEM.";"https://www.gbboaviagem.com.br/images/gbbvlogo.png";"https://www.gbboaviagem.com.br/index.php?pagina=programa-criancas-adolescentes";"Crianças e adolescentes de todos os níveis e habilidades se beneficiarão das aulas de Jiu-Jitsu na Gracie Barra em Boa Viagem, Recife - PE. Nosso Programa Gracie Barra Kids foi desenvolvido para ensinar a autodisciplina das crianças, além de oferecer uma maneira única de se expressar. Nossos instrutores são treinados para interagir e oferecer correção suave para crianças e adolescentes que praticam a arte do Jiu-Jitsu. Crianças com mais de três anos de idade podem começar o treinamento em qualquer uma das 700 escolas da Gracie Barra, experimentando o verdadeiro poder da fraternidade e da integridade. Nosso programa GBK é estruturado de maneira semelhante aos cursos para adultos, com adaptações e modificações feitas para atingir as diferentes faixas etárias da turma. As aulas de Jiu-Jitsu para crianças começam com os blocos de construção necessários para ensinar os fundamentos do Jiu-Jitsu. Desenvolvemos um currículo estruturado de forma a mostrar às crianças e adolescentes o valor da rotina, cooperação e autoconsciência.";;;;;"https://www.gbboaviagem.com.br/index.php?pagina=horarios";"Mon-Fri: 7:00am-9:30pm";"Leeds Francisco Ponsoni Esteves de Morais";;"contato@gbboaviagem.com.br";"https://www.facebook.com/gbboaviagem/";;;;0;;"CBJJ";;"BR";5588
"Gracie Barra Casa Forte";"https://graciebarracasaforte.negocio.site/";" + 55 81 99649-9060";"Avenida 17 De Agosto, 1609 - Casa Forte";"Recife";"PE";"52061-540";;"Brasil";"A Gracie Barra foi consagrada no ano de 2018 a maior escola de jiu jitsu do Mundo. Agora a Gracie Barra está ao seu alcance em Casa Forte.";;;;;;;;;"Mon-Fri: 7:00am-11:00pm, Sat: 8:00am-4:00pm";"Jefferson Marinho da Silva";;"graciebarracasaforte@gmail.com";"https://www.facebook.com/graciebarracasaforte/";"https://www.youtube.com/user/jeffersonm33";"https://youtu.be/xa75UmpWXlg";;0;;"CBJJ";;"BR";6095
"Guilherme Teixeira Team";;" + 55 81 98782-4146";"Av. Sebastião Salazar n: 561, Bairro: Cajueiro";"Recife";"PE";"52221-170";;"Brasil";;;;;;;;;;;"Guilherme Teixeira Cisneiros";;;;;;;0;;"CBJJ";;"BR";6919
"Escola de Jiu Jitsu Gutenberg Melo - Jardim São Paulo";;" + 55 81 98755-1291";"Rua Cláudio José de Lima n: 176, Bairro: Jardim Sao Paulo";"Recife";"PE";"50920-280";;"Brasil";;;;;;;;;;;"Hugo Medeiros, Isabelle Melo";;"escolajiujitsugm@gmail.com";"https://www.facebook.com/escolajiujitsugm/";;;;0;;"CBJJ";;"BR";528
"Jesiel Andrade Team";;" + 55 81 99717-5692";"Rua Gervasio Pires, 47 / 201, Boa Vista";"Recife";"PE";"50060-090";;"Brasil";;;;;;;;;;;"Jesiel do Nascimento Andrade";;;"https://www.facebook.com/Academia-de-Jiu-Jitsu-e-Muay-Thai-Jesiel-Andrade-Associa%C3%A7%C3%A3o-Andrade-327487800764629/";;;;0;;"CBJJ";;"BR";3795
"Nordeste Fight";;" + 55 81 99758-7157";"Rua Gomes Taborda, 1343 - Cordeiro";"Recife";"PE";"50630-250";;"Brasil";"Missão: Ensinar com qualidade a pratica esportiva, melhorar a qualidade de vida das pessoas e conscientizar que esporte é saúde ao alcanc ede todos. Visão: Ser uma escola de jiu jitsu reconhecida e admirada pela excelência em suas atividades e projetos sociais prestados a população.";;;;;;;;;;"Derval Luciano Rêgo";;"nordestefightpe@gmail.com";"https://www.facebook.com/Nordeste-Fight-807907995906402/";"https://www.youtube.com/channel/UCPxjwylQo-GKtnLaI-YtYqw";"https://youtu.be/p8X-oMnBDN4";;0;;"CBJJ";;"BR";2361
"Nova União Pernambuco";;" + 55 81 99684-5698";"Av. Santos Dumont, 246 - Aflitos";"Recife";"PE";"52041-060";;"Brasil";"Considerada uma das melhores academias de jiu-jitsu no mundo, Nova União “explodiu” para o MMA (mixed martial arts/artes marciais mistas).";;;;;;;;;;"Gesse Francisco de Oliveira Filho";;;"https://www.facebook.com/novauniaope/";"https://www.youtube.com/channel/UC1Tfk0D_yGQbPuRDeg5XsJQ/";"https://youtu.be/VyBkNBUj87g";;0;;"CBJJ";;"BR";6828
"Xeleco Brazilian Jiu-Jitsu";;;"Avenida João de Barros 1716, Espinheiro";"Recife";"PE";"52021-180";;"Brasil";;;;;;;;;;;"Alexandre Candido de Souza Junior";;;;;;;0;;"CBJJ";;"BR";5405
"Henrique Novaes Jiu Jitsu Team - HNJJT";;;"Av. Dep. Audomar Ferraz, 120, Diocesano Colégio e Curso";"Floresta";"PE";"56400-000";;"Brasil";;;;;;;;;;;"Henrique Marques Torres Novaes Goyanna";;;;;;;0;;"CBJJ";;"BR";7664
"Equipe Miranda de Jiu-Jitsu";;" + 55 87 98804-1012";"Av. Maria Coelho de Amorim n: 27 A - Predio, Bairro; Jose Maria";"Petrolina";"PE";"56320-087";;"Brasil";;;;;;;;;;;"José Humberto Tavares Soares";;"mmg-j@hotmail.com";"https://www.facebook.com/Equipe-Miranda-954209394601207/";;;;0;;"CBJJ";;"BR";6329
"Academia AFS Jiu-Jitsu";;;"Rua Rio Jiquiá n: 49 casa, Cordeiro";"Recife";"PE";"50721-310";;"Brasil";;;;;;;;;;;"Alexandre Fernandes de Souza";;;;;;;0;;"CBJJ";;"BR";6649
"Arte da Guerra BJJ";"https://zenithdojoartedaguerra.negocio.site/";" + 55 81 99444-1178";"Rua Guanabara, 200 - Coqueiral";"Recife";"PE";"50791-560";;"Brasil";;"https://lh3.googleusercontent.com/-FjUDzoQchzU/WkFrhBjv_gI/AAAAAAAAIqg/YtfKRuhTGW8lsaDmbA5CRp3k8-cXjt-7QCLIBGAYYCw/w1080-h608-p-k-no-v0/";;;;;;;;"Mon-Fri: 6:00am-11:00pm; Sat: 6:00pm-2:00pm; Sun: 6:00am-12:00pm";"Douglas Dias de Araújo";;;;;;;0;;"CBJJ";;"BR";6868
"Michael Freitas Brazilian Jiu-Jitsu";;" + 55 81 99559-6566";"Av. João de Barros n: 1716, Bairro: Espinheiro";"Recife";"PE";"52021-180";;"Brasil";;;;;;;;;;;"Michael Douglas Carvalho P. de Freitas";;"michael.freeeitas@hotmail.com";"https://www.facebook.com/MFreitasBJJ/";;;;0;;"CBJJ";;"BR";6986
"Perfil BJJ";"https://perfil-bjj.business.site/";" + 55 81 98422-6754";"Avenida Governador Agamenon Magalhães, 2807";"Recife";"PE";"50050-290";;"Brasil";"O Perfil BJJ surgiu da ideia de agregar vários perfis em um só lugar, um espaço para os mais diferentes estilos do jiu-jitsu, sendo guardeiro ou passador, da prática do movimento constante ao competitivo.";"https://lh3.googleusercontent.com/ybceoShYyDoYi7BI2kezd0iiphV1d1HdlKgw7BdOqUvtFYjJVRod5zNVnlubopFciQ_GwQyB6lhW4UFW=w1080-h608-p-no-v0";;;;;;;;;"Sidcley Vieira da Silva";;"perfilbjjpe@gmail.com";"https://www.facebook.com/perfilbjj/";;;;0;;"CBJJ";;"BR";7408
"Vega Jiu-Jitsu";;;"Rua Bom Jardim n: 600, Mangueira";"Recife";"PE";"50761-640";;"Brasil";;;;;;;;;;;"Jailson José da Silva";;;;;;;0;;"CBJJ";;"BR";6028
"VS Attd 81";;;"Av. Visconde de Jaquitinhonha n: 2902, Bairro: Boa Viagem";"Recife";"PE";"51130-020";;"Brasil";;;;;;;;;;;"Renato Cavalcanti de Castro";;;;;;;0;;"CBJJ";;"BR";7406
"Caetano Brazilian Jiu-Jitsu";;;"Rua Isabel Linhares n: 97, Lot. Vila Santa Maria, Tabajara";"Olinda";"PE";"53350-730";;"Brasil";;;;;;;;;;;"Derval Luciano Rêgo";;;;;;;0;;"CBJJ";;"BR";6301
"Soul Fighters/Delta Gold Team";;;"Rua Área Leão - n: 705 apt 102, Ed. Gon Goyo, Centro Sul";"Teresina";"PI";"64001-310";;"Brasil";;;;;;;;;;;"Alvaro Mansor Guarçoni";;;;;;;0;;"CBJJ";;"BR";3731
"Antônio Freitas BJJ";;;"Rua Governador Joca Pires, 1571, Fatima";"Teresina";"PI";"64049-522";;"Brasil";;;;;;;;;;;"Antonio Jose Nunes de Freitas";;;;;;;0;;"CBJJ";;"BR";5623
"Carlson Queiroz Jiu-Jitsu";;;"Rua Trevos, Quadra E, Casa 08, Morada do Sol";"Teresina";"PI";;;"Brasil";;;;;;;;;;;"Carlson Maia Queiroz";;;;;;;0;;"CBJJ";;"BR";209
"Cia Teresinense de Jiu-Jitsu";;;"Avenida União 2455 bloco B APT 102, Memorare";"Teresina";"PI";"64009-500";;"Brasil";;;;;;;;;;;"Elias Alves de Meneses Neto";;;;;;;0;;"CBJJ";;"BR";4190
"Quartel General da Luta";;" + 55 86 99802-4109";"Rua Desembargador Pires De Castro Sem nr Sala A Clube Do Marquês Bairro Marquês";"Teresina";"PI";"64001-390";;"Brasil";;;;;;;;;;;"Luiz da Costa Oliveira Junior";;"qgdalutaorionspiaui@hotmail.com";"https://www.facebook.com/Projeto-Esportivo-Quartel-General-da-Luta-398852973498495/";;;;0;;"CBJJ";;"BR";4046
"Hordisney Alencar BJJ";;;"Avenida Odilon Araujo n: 536, Piçarra";"Teresina";"PI";"64017-280";;"Brasil";;;;;;;;;;;"Hordisney Pereira de Sousa Alencar";;;;;;;0;;"CBJJ";;"BR";7531
"PS Heróis do Jenipapo";;;"Rua Manoel Ildefonso de Lima n: 2052, Parque Ideal";"Teresina";"PI";"64073-200";;"Brasil";;;;;;;;;;;"Carlos Henrique Alencar da Costa";;;;;;;0;;"CBJJ";;"BR";7007
"Warriors Fighter Brazilian Jiu-Jitsu";;;"Av. Odilon Araújo n: 536 - Corpus Fitness Academia, Bairro: Piçarra";"Teresina";"PI";"64017-280";;"Brasil";;;;;;;;;;;"Hordisney Pereira de Sousa Alencar";;;;;;;0;;"CBJJ";;"BR";7532
"Zit Independente";"https://zit-independente.negocio.site/";" + 55 86 98887-7760";"Quadra 21 Casa 16, Planalto Uruguai";"Teresina";"PI";"64057-400";;"Brasil";;;;;;;;;;;"Ayrton de Sousa Gomes";;;;;;;0;;"CBJJ";;"BR";7031
"Tanamati Jiu-Jitsu";;;"Rua Tucanos 245, Centro";"Arapongas";"PR";"86700-070";;"Brasil";;;;;;;;;;;"Fabiano Ricci";;;"https://www.facebook.com/Tanamatibjj/";;;;0;;"CBJJ";;"BR";5442
"Brazil Jiu-Jitsu";;;"Rua Xavier da Silva 981, Centro";"Campo Largo";"PR";"83601-010";;"Brasil";;;;;;;;;;;"Ramon Jamur";;;;;;;0;;"CBJJ";;"BR";4089
"BJJ Valdecir Tegoni Team";;;"Rua General Osório n: 1289, Comercial - Parque São Paulo";"Cascavel";"PR";"85803-760";;"Brasil";;;;;;;;;;;"Valdecir da Silva Tegoni";;;;;;;0;;"CBJJ";;"BR";7456
"Cleusso Roma BJJ";;;"Rua Seringueira, 266";"Cascavel";"PR";"85807-230";;"Brasil";;;;;;;;;;;"Cleusso de Oliveira Roma";;;;;;;0;;"CBJJ";;"BR";7622
"N1 Cia de Artes Marciais";;" + 55 45 9963-0828";"Rua Visconde do Rio Branco 3402 , Centro";"Cascavel";"PR";"85810-180";;"Brasil";;;;;;;;;;;"Elson de Jesus Pinto";;"n1teambrasil@gmail.com";"https://www.facebook.com/n1teambrasil/";;;;0;;"CBJJ";;"BR";3084
"Tomasausk Jiu-Jitsu";;;"Avenida America 4946";"Cianorte";"PR";"87200-000";;"Brasil";;;;;;;;;;;"Antonio Sergio Tomasausk";;;"https://www.facebook.com/tomasauskbjj/";;;;0;;"CBJJ";;"BR";6341
