"Name";"Website";"Phone";"Address";"City";"State";"Zip";"Stars";"Country";"Details";"Logo URL*";"Kids Program URL";"Kids Program Detail";"Women Only Program URL";"Women Only Program Detail";"Other Programs (MMA/Boxing/Etc)";"Rate/Pricing(BJJ Only)";"Schedule URL";"Business Hour";"Head Professor";"Special Offer";"Email*";"Facebook URL";"Youtube Channel";"Video URL(Official Only)";"Awards*";"Multiple Locations(For Affiliates-Yes)";"Note"
"Rock City Mixed Martial Arts";"http://rockcitymma.com/";" +1 501-812-9121";"200 N Bowman Rd #3";"Little Rock";"AR";72211;;"United States";"Rock City MMA is all about the teaching of Martial Arts, Mixed Martial Arts and the belief that it is for anybody and everybody! A great way to get in shape, stay in shape and develop athletic skills superior to most. We believe that when you feel beat down in the cage of life, or you feel the grinding pressure of ground n pound at work or at school, the skills you have aquired through MMA training will bring you victory.

Knowing that Jesus, your ultimate Cornerman, is there to bring you water in between rounds, gives us hope and courage to fight another round. We want to fight the good fight of faith. Knowing that with God beside me, we can accomplish anything we set our mind to.

The life skills that are taught to the students will help develop Leadership, Courage, Respect, Discipline, Focus, Confidence, Integrity and Humility. ";"http://www.rockcitymma.com/assets/images/rockcitylogo03-1072x232.png";"http://www.rockcitymma.com/page4.html#collapse2_163";"Our Kids/Youth MMA and BJJ classes are fun and fitness focused. Great for the new student with absolutely zero ability or knowledge of the sport or if your child is a well rounded athlete they will be pushed and encouraged to grow along with our multiple world champion expert grapplers!!! We have you covered.
Let me be honest. If you want real life change for you, your child or family…. We are here to do just that. I promise you will not be the same after just one class…..
Our youth classes are not only focused on physical skill but on LIFESKILLS as well. Structured on RESPECT and SELFCONTROL, your child will be challenged daily to grow into a better and more capable person as well as challenged physically daily.
“I will not push you past what you can do, I will push you beyond what you THINK you can do, and show you what you are capable of achieving”";"N/A";"N/A";"Mixed Martial Arts (MMA)";"Mat Rats MMA & BJJ- $ 119 per month
Youth MMA and BJJ- $ 149 per month
Adult Martial Arts Classes MMA & BJJ- $ 175 per month
Competition Team Advanced MMA/Advance Grappling- $ 209 per month";"http://www.rockcitymma.com/page3.html";"Monday: 3:30 PM - 9:30 PM
Tuesday: 3:30 PM - 9:30 PM
Wednesday: 3:30 PM - 9:30 PM
Thursday: 3:30 PM - 9:30 PM
Friday: CLOSED
Saturday: CLOSED
Sunday: CLOSED";"Nathan Kirby";"Introductory Offer: 2 weeks for $50.00 of unlimited classes";"kirbymma@gmail.com";"https://www.facebook.com/mmarockcity/";"https://www.youtube.com/channel/UCt_tncVAetpK5JeM8L-8jyw/featured";"N/A";"N/A";"No";
"Taiho-Ryu Karate and Jujitsu";"http://www.taiho-ryu.org/";" +1 870-534-8900";"207 N Catalpa St";"Pine Bluff";"AR";71601;;"United States";"Taiho-Ryu is a Japanese-based martial art developed by Sensei Bo Hardy in the early 1970's. While largely based on Taiho-Jutsu (the style currently used by the Japanese police force), the style itself encompasses techniques and katas (forms) from many different styles including jujitsu, kempo, taekwondo, and aikido. Taiho-Ryu also includes the study of classical martial arts weapons such as bo, tonfa, nunchaku, sai, and katana (sword).

Taiho-Ryu differs from most martial arts being offered today in the fact that it is a practical style with emphasis in what works rather than what looks good. Training centers around tradition with kata, mind and breath control, discipline, philosophy and history. Training also includes the conditioning of both mind and body, and of self-defense including defense against grabs, throws, gun and knife, and multiple person attacks.

The ranking system in Taiho-Ryu is designated by belt color, starting with white, then yellow, blue, green, purple, brown, and then the ascending degrees of black. Holders of a degree in kobujutsu (study of weapons) are designated with a red stripe on the belt. Testing is permitted when the instructor feels that the student is ready for the next rank. Generally, if a student trains hard and is regular in attendance, testing may be as often as every six to eight months, depending on the rank being obtained. There are no stripes between belts--graduation is between the colors listed above only.";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"http://www.taiho-ryu.org/, Schools Tab";"N/A";"Bo Hardy";"N/A";"contact3@taiho-ryu.org";"N/A";"N/A";"N/A";"N/A";"No";
"Westside Mixed Martial Arts";"http://westsidemma.com/";" +1 501-663-3850";"1021 Jessie Rd";"Little Rock";"AR";72202;"5/5 Stars";"United States";"Westside MMA is not only an internationally recognized Mixed Martial Arts gym, for many of our students it’s home.  With our 8,000 square foot facility located minutes from Downtown Little rock, AR we have the facility, schedule, space, equipment and most experienced instructors in the area.  Aside from housing Brazilian Jiu Jitsu World Champions such as Hillary Williams and UFC / Bellator veterans Roli Delgado and Mike Wessel, we are a home to many executives, kids and aspiring athletes of all levels.  Our beginners classes will help you start punching and kicking yourself into shape or if you prefer Jiu Jitsu, squeezing and pulling yourself into shape.  Regardless of your experience or lack of experience, we will help you get started the correct way.  ";"http://static1.squarespace.com/static/565dc0c8e4b04267d1df0120/t/565dcfc7e4b02dbd7a677401/1516335121160/?format=1000w";"http://www.westsidemma.com/kids/";"We love teaching kids here at Westside MMA!  We have amazing Kids Kickboxing and Kids Jiu Jitsu classes.  We help instill discipline, honor, integrity and respect while teaching realistic self defense.  We do not perform katas or play with fake swords.  Your children will learn how to defend themselves in a fun but practical way.  Aside from self defense and life skills, we will help your children stay in shape with Martial Arts.


Our coaching staff considers itself an integral part of your child's development.  Our formula is simple, we provide a great fun program and instill an appreciation of hard work into our students that will arm them with the confidence, work ethic and discipline it takes to be successful in today’s world.";"N/A";"N/A";"Mixed Martial Arts (MMA), Kickboxing";"Price: $49.00
First Installment   $49.00";"http://www.westsidemma.com/schedule/";"N/A";"Roli Delgado";"2 week trial with a free uniform ($100 value) for just 49 dollars";"manager@westsidemma.net";"https://www.facebook.com/WestsideMMAArkansas/";"N/A";"https://www.facebook.com/WestsideMMAArkansas/videos/1458717254152458/";"N/A";"No";
"All-Star Martial Arts";"http://myatakarate.com/";" +1 501-327-5425";"705 Club Ln #106";"Conway";"AR";72034;"1/5 Stars";"United States";"All-Star Martial Arts has been offering instruction and training in Taekwondo & Martial Arts for over 30 years in North Little Rock, Cabot, Bryant, Little Rock, Maumelle, Conway and Sherwood Arkansas as well as in Midtown Memphis & Germantown Tennesee. Our martial arts instructors have produced champions in life as well as in the martial arts. We have instructors standing by to assist you on enrolling into a program that is the perfect fit for you and your family!

With multiple locations in Central Arkansas & West Tennessee, there is an All-Star Martial Arts academy near you! All-Star Martial Arts offers pre-school karate kid classes (ATA Tiger program), elementary aged karate kid programs, family martial art classes, and Teen/Adult Taekwondo and Martial Art classes.

Thank you for visiting the All Star Martial Arts website and we look forward to serving you and your family!";"http://myatakarate.com/wp-content/uploads/2017/01/AllstarMA_logo2.png";"http://myatakarate.com/karate-for-kids/";"Karate for Kids classes at All-Star Martial Arts of Arkansas and Tennessee are a great way to instill integrity, courtesy and respect with children in the local community. All-Star Martial Arts of Arkansas and Tennessee Karate programs teach children of all ages the valuable life lessons of, respect, self-discipline, self-control and the ability to safely defend themselves when needed. The life skills and attributes create a personal Victory in Martial Arts within the karate for kids. These life skills taught our Professional Team of instructors are truly necessary in becoming a confident individual in today’s society. Interaction in the world around them at an early age is a critical life skill element for any of the community members.

The All-Star Martial Arts of Arkansas and Tennessee academy serves the community with the some of the best Karate classes in Little Rock, Maumelle, Cabot, Conway, Bryant, Memphis and Germantown. Karate for kids is set with age appropriate programs and classes that are specifically aimed at the physical development and mental capabilities of the younger karate kids in the family. Measuring the results of the individual student and establishing specific goals in the context of the curriculum at the ASMA Karate For Kids carries over to many other activities and studies in life for young students. Teaching the skill of dedication to completing an activity and meeting the goals is an important part of the program designed by the instructors.

Together with kids their own age, every karate kid youngster can grow with the self-confidence that a top martial arts program develops within the core values of a program. The reliable program of self-improvement and leadership offered at All-Star Martial Arts of Arkansas and Tennessee can ultimately be a key turning point for the kids in the family. It?s not hard to see the impact a karate lesson can have on young person who needs more confidence from within and by creating that Personal Victory in Martial Arts.";"http://myatakarate.com/womens-martial-arts-2/";"Women are looking to break away from the traditional workouts that become boring and repetitive in nature. Women want a healthy way to stay fit that isn’t the same daily routine. Repeating the same bike ride, run, or gym workout everyday can contribute to a loss of motivation with one’s will power. At All-Star Martial Arts of Arkansas and Tennessee women are finding the martial arts classes exciting, fun and challenging. The physical nature of martial arts alone is both rewarding and encouraging to women of any age.

Along with the reality of these measurable physical effects, classes also offer many other features and benefits. Martial Arts has been known to provide the much needed stress relief, promote self-esteem, awareness and concentration that will boost confidence. Martial Arts classes in Little Rock, Maumelle, Cabot, Conway, Bryant, Memphis and Germantown are even helping women keep their memory sharp and their body toned.

The classes at All-Star Martial Arts of Arkansas and Tennessee will increase cardiovascular health while strengthening, enhancing flexibility, toning vital muscles and building coordination and body awareness within a karate class.

By educating women to expand their work out options, All-Star Martial Arts of Arkansas and Tennessee classes are able to keep women motivated and focused with physical activities. Women are now feeling the personal martial arts victory within themselves.";"Men’s Martial Arts";"N/A";"N/A";"N/A";"N/A";"2 Weeks Free with a Free Uniform";"myatakarate@gmail.com";"https://www.facebook.com/arkansasata/";"N/A";"N/A";"N/A";"Yes";
"All-Star Martial Arts";"http://myatakarate.com/";" +1 501-327-5425";"705 Club Ln";"Conway";"AR";72034;;"United States";;;;;;;;;;;;;;;;;;;"Duplicate, Row-110"
"Gravitas Martial Arts";"http://www.gravitasmma.com/";" +1 501-205-0186";"1030 Front St";"Conway";"AR";72032;;"United States";"Gravitas Martial Arts was founded in 2013 by Jonny Wester and Daniel Trimble with the intention of providing world-class martial arts instruction at a local level. At Gravitas martial Arts, you will find great training in a lively and welcoming atmosphere.

We are located on Front Street in Conway, AR and offer training in a wide variety of martial arts including Brazilian Jiu-Jitsu, Kickboxing, Muay Thai, Boxing, Wrestling and Judo. Each class will give you the ability to reach new fitness levels as our experienced instructors teach you the techniques to become an excellent martial artist. Gravitas Martial Arts is a great place to get in shape and learn how to defend yourself without the boredom of the traditional gym.";"https://static1.squarespace.com/static/598361de9f7456e921bc2ebd/t/5983681a4c0dbf6b016b1e9e/1517368228982/?format=1500w";"https://www.gravitasmartialarts.com/kids-more-info";"We offer training for kids 5-7 little dragons, 7-12 youth.

Our classes for ages 7-12 are fun, yet structured and disciplined and build your child’s Self-Control and Confidence.

We benefit your child with:

    Confidence to stand up to peer pressure
    Focus & Self-control
    Positive Life Skills – Self-Discipline, Goal Setting

Gravitas Martial Arts Youth Programs (ages 7-12)

Basic Program

Our Classes develop a positive mental attitude through the students building a strong foundation in the basic skills of the martial arts, including blocks, punches, kicks, stances as well as basic Brazilian Jiu Jitsu, and basic sparring. In this program, students begin seeing the physical fitness rewards of the martial arts as they begin the journey of getting in the best shape of their lives, resulting in building confidence needed to succeed at any challenge.

Our gym is like no other when it comes to offering a SOLID workout!Basic students can attend up to 2 classes per week.

The Black Belt Training Program

This program is super exciting and our students have a blast as they learn all techniques needed to become a black belt and are empowered from our self-protection program, while learning life skills from our personal coaching system. The Black Belt Club is comprised of students committed to the goal of black belt. The Black Belt Club is encouraged for all students that have set a goal of Black Belt Excellence! BBT students can attend up to 4 classes per week.
Martial Arts Programs for Teens

Gravitas’ popular Kickboxing / MMA gym is high-energy, exciting and motivating, and a great outlet for a teenager’s energy. Gravitas Martial Arts teaches real self-defense skills with Kickboxing, Brazilian Jiu-Jitsu, and MMA along with the life skills of responsibility and Respect. It is more challenging than ever to be a teenager in America. Fear and distractions seem to be at an all-time high, and our media-savvy kids are well aware of it.

Gravitas offers MMA classes and training that will give your teen more focus and self-confidence, skills most every teenager can benefit from in today’s world. Our MMA classes are held in a safe and positive environment. Gravitas instructors are great role-models, and stress positive character traits such as perseverance, goal-setting, honor and discipline.

Your teen will enjoy the training in their class, as well as the lifelong friendships they’ll make while exercising and training with others who have the same interests and goals.

Gravitas Martial Arts can give your teen skills and habits that last a lifetime…. Confidence, Self-Defense and Empowerment. Our Instructors will teach your teen how to deal with challenges that may arise, and how to defend themselves both mentally and physically. We teach them to avoid confrontations – and also how to defend themselves effectively and skillfully if ever necessary.

How do teenagers get started?

Call (501)205-0186 and schedule a free MMA trial class for your teenager. You will be given a tour of our training gym, meet the instructors, and workout in one of our teen classes. This will give you the opportunity to work out in class with our other teen students.

Our tuition rates are also reasonable, competitive and affordable. We look forward to meeting you and making a difference in the life of your teenager.

We teach students throughout the Conway & Central Arkansas area.";"N/A";"N/A";"Kickboxing";"N/A";"https://www.gravitasmartialarts.com/schedule/";"N/A";"Jonny Wester & Daniel Trimble";"N/A";"gravitasmma@gmail.com";"http://www.facebook.com/profile.php?id=2099916963568863";"https://www.youtube.com/channel/UCReTUWVU1foyk4cpmDIVl4A";"N/A";"N/A";"No";
"Family Combat Fitness";"https://fcfmma.com/";" +1 479-763-1540";"1105 Wheeler Ave";"Fort Smith";"AR";72901;;"United States";"Family Combat Classes are designed for all ages! We specialize not only in martial arts but combat fitness techniques that are fun, safe and for everyone!";"https://img1.wsimg.com/isteam/ip/a18e8694-06c4-45f0-abbe-6f94e2156864/logo/1aaff12a-421d-4332-9430-c2dcc2f22b16.jpg/:/rs=h:125";"N/A";"N/A";"N/A";"N/A";"MMA & Fitness, Boxing & Muay Thai";"12 month contract-$100
6 month contract-$125
3 month contract-$150
Basic GYM membership-$40
Boxing, Muay Thai, BJJ, Fitness-$70(Individual discipline's are 1 hour a day, 3 classes a week. )";"https://fcfmma.com/, Scroll down";"Monday: 5:30 AM - 7:00 AM, 9:00 AM - 9:00 PM
Tuesday: 5:30 AM - 7:00 AM, 9:00 AM - 9:00 PM
Wednesday: 5:30 AM - 7:00 AM, 9:00 AM - 9:00 PM
Thursday: 5:30 AM - 7:00 AM, 9:00 AM - 9:00 PM
Friday: 5:30 AM - 7:00 AM, 9:00 AM - 9:00 PM
Saturday: 10:00 AM - 2:00 PM
Sunday: 5:00 PM - 6:00 PM";"N/A";"N/A";"familycombatfitness@gmail.com";"https://www.facebook.com/FamilyCombatFitness/";"N/A";"N/A";"N/A";"No";
"Thompson Defense Academy";"http://www.thompsondefenseacademy.com/";" +1 479-763-4282";"6421A Hwy 271 s";"Fort Smith";"AR";72908;;"United States";"Here at Thompson Defense Academy we are focused on helping people improve their lives through quality martial arts. We offer several programs for ages 5 to 17 for kids and any age for adults. Kickboxing, Brazilian Jiu Jitsu, Taekwondo, Boxing and Wrestling make up our program. Self Defense, Competition, Self Confidence and Fitness are a few benefits we provide to our clients. Trial classes are available today!!! Just call 479-763-4282 or send us a Message!!!";"https://scontent.fdac6-1.fna.fbcdn.net/v/t1.0-1/p200x200/10565254_1535679636660557_6283822471958966280_n.jpg?_nc_eui2=v1%3AAeFsrAxM9c1rjEApFC5-kFUhU4r-kTuwdBGanO-tVlocHh4J1Ac_KncukkLulC31qYSny_P3vPPdhlK9MRH2EdlwEuwYqGj8Yt2sxfGVc25gtQ&oh=fa2fd0e0e1e9843e2a844cfc3b76e26a&oe=5B08E0F7";"N/A";"N/A";"N/A";"N/A";"MMA/taekwondo, kickboxing";"N/A";"http://www.thompsondefenseacademy.com/schedule.html";"N/A";"Carolyn Thompson";"N/A";"thompsondefenseacademy@yahoo.com";"https://www.facebook.com/ThompsonDefenseAcademy/";"N/A";"N/A";"N/A";"No";
"Jonesboro Fitness & MMA";;" +1 870-203-0539";"1712 N Old Greensboro Rd";"Jonesboro";"AR";72401;;"United States";;;;;;;;;;;;;;;;;;;"No Active Source Found"
"F4 Martial Arts Academy";"http://www.f4martialartsacademy.com/";" +1 501-259-4537";"8007 Counts Massie Rd";"North Little Rock";"AR";72113;;"United States";"

F4 Martial Arts Academy specializes in teaching the art of Brazilian Jiu Jitsu. We have a comprehensive schedule of classes in Brazilian Jiu Jitsu that cater to men, women and children.  In addition to Brazilian Jiu Jitsu, we also offer classes in Kickboxing and Combat Fitness.  For more information see our programs.

At F4 Martial Arts Academy, it is our mission to provide each of our students with the most current and best martial art training in the industry. We feel at F4 Martial Arts, to be the best, you have to train with the best. That is why we are proud to be an official affiliate of Alliance Jiu Jitsu.  Alliance Jiu Jitsu produces the best Jiu Jitsu Black Belts in the world.

All of our Instructors at F4 Martial Arts have very deep backgrounds in Martial Arts and are very skilled and knowledgeable. Our Instructors are very innovated in their teaching styles and are dedicated at helping you reach your training goals. The classes at F4 Martial Arts are designed to push you to reach your goals and are always taught in a safe, positive environment.

Whatever your reason for training; self defense, self confidence, competition training, weight loss or just to have fun. F4 Martial Arts is the place for you. Come be part of our Team! Call today for a free intro.";"http://static1.squarespace.com/static/5076d3a584ae1ac54deb8872/t/50e8f612e4b0d5ee8b780536/1496961977682/?format=1500w";"http://www.f4martialartsacademy.com/programs/";"Kids Brazilian Jiu Jitsu
At F4 Martial Arts Academy your child will learn real life skills that will help them in everyday life. Confidence, respect, honor and discipline will become a part of your child's life. Our style of Martial Arts is a realistic style of martial arts that will give your child the best possible skills for self defense.
F4 Martial Arts uses the  international grading standard for Brazilian Jiu Jitsu and minimum time and age requirements at each belt to preserve the integrity of the art with clear guidelines to measure the students evolution. As a student you should attend every training session possible and make the most of each and every session, which shows you have a passion for the art. 

Kids Kickboxing
F4 Martial Arts Kids Kickboxing program is designed to teach not only  punching and striking skills of Kickboxing but to also push kids to reach their fitness goals.  Cardio and getting in shape is a big part of the Kids Kickboxing program.  Training takes place indoors and outdoors which will routinely includes running outside.";"N/A";"N/A";"Kickboxing ";"N/A";"http://www.f4martialartsacademy.com/schedule/";"Monday: 5:00 PM - 8:00 PM
Tuesday: 4:45 PM - 8:00 PM
Wednesday: 5:15 PM - 8:00 PM
Thursday: 5:00 PM - 8:00 PM
Friday: CLOSED
Saturday: CLOSED
Sunday: 2:30 PM - 4:00 PM";"Lindsey Clyburn";"N/A";"lindseyclyburn@sbcglobal.net";"https://www.facebook.com/Alliance-Jiu-Jitsu-of-Arkansas-117780944944968/";"https://www.youtube.com/user/F4martialarts";"N/A";"N/A";"No";
"Inferno BJJ";"http://www.myinfernofitness.com";" +1 479-715-6625";"1200 SE 14th St";"Bentonville";"AR";72712;;"United States";"Call (479) 715-6625 or come by our fitness center in Bentonville or Springdale today to tour the facility, meet our martial arts instructors, fitness instructors, and personal trainers.

Our gym & fitness center is among the finest in Northwest Arkansas, offering a fun and friendly atmosphere for the entire family along with intense expert training. We look forward to seeing you!
";"http://myinfernofitness.com/wp-content/uploads/2015/06/Gameness-2Inferno-FITNESS-AND-MMA-logo-April-2012.png";"http://myinfernofitness.com/mma/youth-program/";"http://myinfernofitness.com/mma/youth-program/little-dragons-ages-3-4/
http://myinfernofitness.com/mma/youth-program/youth-ages-5-7/";"N/A";"N/A";"Mixed Martial Arts, Kickboxing";"N/A";"http://myinfernofitness.com/class-schedules/";"Monday: 5:00 AM - 9:30 PM
Tuesday: 5:00 AM - 9:30 PM
Wednesday: 5:00 AM - 9:30 PM
Thursday: 5:00 AM - 9:30 PM
Friday: 5:00 AM - 8:00 PM
Saturday: 7:00 AM - 12:00 PM
Sunday: 1:00 PM - 5:00 PM";"Chris Hulsey";"N/A";"asparks1234@gmail.com";"https://www.facebook.com/MyInfernoFitness";"https://www.youtube.com/user/InfernoMMA";"N/A";"N/A";"Yes";"All Kids Program Doesn't copy together into a single cell"
"10th Planet West LA";"http://www.10thplanetwestla.com/";" +1 323-543-5487";"1080 S La Cienega Blvd #106";"Los Angeles";"CA";90035;;"United States";"I﻿f you live in or near West Los Angeles and Beverly Hills in the City of Los Angeles and Greater Los Angeles Area and are in driving distance to either one of the Hollywood, El Segundo, Burbank, Hawthorne, Santa Monica, Inglewood and Culver City areas, you definitely do not want to miss this.

We’re The MMA gym for you, whether you’re a Muscle-Bound BodyBuilder or a normal guy or gal who just wants to get in shape… Whether you’re a Brazilian Jiu Jitsu Black Belt who’s looking for some great Jiu Jitsu in West Los Angeles or  if you're a no-stripe-white-belt and it’s your first day practicing BJJ…

We’re the MMA gym for you!";"http://www.10thplanetwestla.com/wp-content/uploads/2017/07/logo.png";"http://www.10thplanetwestla.com/kids-bjj/";"Are you doing everything you can to:

    Arm your child to succeed in life?
    Help them be the best they can be in school?
    Develop their self confidence?
    Assist them in developing their unique potential?
    Learn self-discipline?

Most parents do everything they can to teach these things to their children, but after school many parents need some help. The 2-4 hours that kids spend after school before their parents get home are some of the most important hours in a child's life.

How is your child spending their time After School? Let’s look at this example: The average child spends 3-4 hours somewhere after school before their parents come home. A child in 1st to 7th grade spends about 200 days in school out of the year; this doesn’t even include the 8 hours a day for 2-3 months during the summer. 200 days times 3 hours is 600 hours a year a child spends doing what?

Some go to babysitters.

Some go home and play with their friends doing whatever they want.

Others get into serious trouble.

Not Our Students.

Between the 1st and 7th grade a child spends an average of 4200 hours doing basically nothing productive. This time is more valuable than you know. In 4200 hours you could graduate from college, get your Masters Degree and your Ph.D. So why wouldn’t you let your child spend this valuable time learning skills that will last a lifetime?

When our kids get out of school, their parents know that their child is being trained in real Life Skills. With our busy 21st century schedules, it's hard to find the time and resources to really help them with these important life skills. You would think and expect that they would learn about perseverance, positive mental attitudes, self-discipline and goal setting in school, but they really don't. Students who attend 10th Planet Los Angeles Academy have an advantage over others because we teach them about these important life skills and how to develop them to their fullest! They learn success traits that will pay off for the rest of their lives.

If you have a 5 to 13-year-old looking for something to do after school, look no further. 10th Planet Los Angeles Mixed Martial Arts After School program will provide your child with structured study time, lessons in Martial Arts, stranger danger, anger management, conflict resolution, 911 awareness, fire safety, and much more. In one of the finest facilities in the country, your child will learn life lessons that will assure a future of success. Wouldn't it be nice to have your child enrolled in a program that is committed to keeping children away from drugs and gangs? Imagine the peace of mind that affords a parent.";"N/A";"N/A";"Muay Thai Kickboxing";"N/A";"N/A";"N/A";"Scott ""Einstein"" Epstein";"Try Mixed Martial Arts (MMA) and Brazilian Jiu Jitsu In Beverly Hills and West Los Angeles For 30 Days FREE!";"info@10thplanetwestla.com";"https://www.facebook.com/10thPLANETWESTLOSANGELES/";"N/A";"N/A";"N/A";"No";
"5 Star Martial Arts";"http://www.5starmartialarts.com";" +1 323-933-1708";"4201 Wilshire Blvd #105";"Los Angeles";"CA";90010;"5/5 Stars";"United States";"Based in Los Angeles, California, 5 Star Martial Arts is Southern California’s premier martial arts training academy. With Renzo Gracie Jiu Jitsu, Muay Thai Kickboxing, and a multitude of fitness/ strength based classes, You are sure to be on the road to greatness! Our cutting edge techniques and instruction along with our unique comprehensive curriculum is what makes us the #1 choice for martial arts and fitness training under one roof.";"http://www.5starmartialarts.com/wp-content/uploads/2015/11/Header-logos-white-font-e1446411679749.png";"http://www.5starmartialarts.com/kids-programs/";"Unlike traditional sports, martial arts do not fall into specific individual or team activity categories. They are actually the best of both worlds, encouraging individual performance and growth within a positive team environment that fosters effective interaction with others.  This combination makes martial arts the absolute best way for children to grow as individuals.

A child must develop an assortment of qualities to be successful. Improved focus, self discipline and respect for others as well as fitness, coordination and confidence are just a few of the benefits your child will receive in the 5 Star Kids Martial Arts program. We are committed to providing these essential tools and techniques to help your child excel both on and off the mats.

We teach common sense before self defense. 5 Star strives to prepare children with the character traits and decision making skills needed to address and analyze the challenges they will face. Over 70% of children will experience bullying to some degree. We want to make sure that our students are prepared for those situations when they occur and are able to respond in a non-violent way.

We understand how important it is to instill these character skills in children at a young age. We work closely with the parents, as well as the teachers of our school systems, to make sure the children are excelling at home and in the classroom. 5 Star Martial Arts provides a safe, positive and effective learning environment for your child to succeed. Come see it for yourself today!";"N/A";"N/A";"Muay Thai Kickboxing";"N/A";"http://www.5starmartialarts.com/schedule-location/";"Monday: 6:30 AM - 9:30 PM
Tuesday: 6:30 AM - 9:30 PM
Wednesday: 6:30 AM - 9:30 PM
Thursday: 6:30 AM - 9:30 PM
Friday: 11:00 AM - 7:30 PM
Saturday: 8:30 AM - 2:30 PM
Sunday: 9:30 AM - 1:00 PM";"Shawn Williams";"N/A";"info@5starmartialarts.com";"https://www.facebook.com/5starmartialarts";"N/A";"http://www.5starmartialarts.com/";"N/A";"Yes";"The official video link not specified. Attached homepage link, here the video located."
"Beverly Hills Jiu-Jitsu Club";"http://www.bhjjc.com/";" +1 310-854-7664";"1080 S La Cienega Blvd";"Los Angeles";"CA";90035;;"United States";"Beverly Hills Jiu-Jitsu Club offers a variety of classes for all levels. We provide training for competition, tournaments, self defense or if you just want a fun and challenging workout to be in top shape.";"https://scontent.fdac6-1.fna.fbcdn.net/v/t1.0-1/p200x200/20476166_10155727557531122_8225459810167226368_n.jpg?_nc_eui2=v1%3AAeHn2SLlIYoi3AoE8beRzwL3DH-wjjf2QbEhakGLmpgKJzyu_6GNTG5XBD3AppSq0X2JXpZv7SlIVp3spLv06WlXaSS7pQeLjaPmUJY_5w3Nbg&oh=cbb4a857238669414ef5eb0086354782&oe=5B06F123";"https://www.bhjjc.com/classes";"Jiu Jitsu is a fun way for kids to improve flexibility, build confidence, get in shape, and develop discipline.The class is filled with techniques such as takedowns, ground control, escapes, submissions, and self defense. Our Anti-Bully program teaches the kids and teens awareness and how to overcome a bigger and stronger opponent by using leverage and momentum. We split the classes into 2 for kids of the age 4 - 8 and teens from 9 - 14 years old.";"N/A";"N/A";"N/A";"N/A";"https://www.bhjjc.com/blank-cdj3";"Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 8:30 PM
Saturday: 11:00 AM - 1:00 PM
Sunday: CLOSED";"Marcus Vinicius Di Lucia";"1 week free trial offer!";"info@bhjjc.com";"https://www.facebook.com/bhjjc/";"N/A";"https://www.bhjjc.com/";"N/A";"No";"The official video link not specified. Attached homepage link, here the video located."
